,idx,pop_num,pop_cum_num
0,1,7,7
1,2,2,9
2,3,6,15
3,4,5,20
4,5,2,22
5,6,2,24
6,7,5,29
7,8,5,34
8,9,6,40
9,10,6,46
10,11,9,55
11,12,5,60
12,13,9,69
13,14,5,74
14,15,2,76
15,16,7,83
16,17,4,87
17,18,16,103
18,19,11,114
19,20,9,123
20,21,8,131
21,22,11,142
22,23,12,154
23,24,10,164
24,25,10,174
25,26,16,190
26,27,12,202
27,28,11,213
28,29,17,230
29,30,14,244
30,31,17,261
31,32,15,276
32,33,16,292
33,34,11,303
34,35,9,312
35,36,18,330
36,37,10,340
37,38,12,352
38,39,10,362
39,40,14,376
40,41,18,394
41,42,8,402
42,43,12,414
43,44,18,432
44,45,11,443
45,46,17,460
46,47,10,470
47,48,11,481
48,49,10,491
49,50,15,506
50,51,20,526
51,52,13,539
52,53,16,555
53,54,21,576
54,55,13,589
55,56,10,599
56,57,14,613
57,58,17,630
58,59,11,641
59,60,19,660
60,61,9,669
61,62,15,684
62,63,23,707
63,64,10,717
64,65,19,736
65,66,8,744
66,67,15,759
67,68,11,770
68,69,10,780
69,70,16,796
70,71,9,805
71,72,12,817
72,73,18,835
73,74,12,847
74,75,12,859
75,76,14,873
76,77,13,886
77,78,10,896
78,79,6,902
79,80,16,918
80,81,15,933
81,82,12,945
82,83,13,958
83,84,8,966
84,85,11,977
85,86,7,984
86,87,8,992
87,88,8,1000
88,89,11,1011
89,90,13,1024
90,91,14,1038
91,92,10,1048
92,93,8,1056
93,94,16,1072
94,95,9,1081
95,96,10,1091
96,97,6,1097
97,98,13,1110
98,99,9,1119
